"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","KJEL_N_Tot_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
101979,1981-11-11 12:10:00,0,"DWS-RQIS","NONE",10,30.5,118,19.6,0.05,3.8,,4,19.6,0.02,0.27,,6.4,0.006,5.88,8.8,32.6,"G2H020Q01","G22H"
101979,1981-11-18 11:15:00,0,"DWS-RQIS","NONE",,,,8.3,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1981-11-25 11:40:00,0,"DWS-RQIS","NONE",,,,16,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1981-12-02 12:00:00,0,"DWS-RQIS","NONE",,,,14,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1981-12-09 11:25:00,0,"DWS-RQIS","NONE",10.3,25.1,111,15.8,0.14,3.17,,3.1,13.4,0.02,0.15,,7.08,0.003,4.87,18.4,30.1,"G2H020Q01","G22H"
101979,1981-12-23 16:06:00,0,"DWS-RQIS","NONE",,,,31.4,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-01-06 10:28:00,0,"DWS-RQIS","NONE",5.8,14.9,58,10,0.05,1.58,,1.7,9.7,0.02,0.02,,6.79,0.014,2.43,2,17.4,"G2H020Q01","G22H"
101979,1982-01-13 11:08:00,0,"DWS-RQIS","NONE",,,,10.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-01-20 11:30:00,0,"DWS-RQIS","NONE",,,,11.5,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-01-27 11:40:00,0,"DWS-RQIS","NONE",,,,11.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-02-03 07:40:00,0,"DWS-RQIS","NONE",6.1,14.5,61,9,0.05,1.45,,1.6,9.1,0.02,0.04,,6.79,0.006,2.34,5,18.6,"G2H020Q01","G22H"
101979,1982-02-10 11:35:00,0,"DWS-RQIS","NONE",,,,8.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-02-17 11:40:00,0,"DWS-RQIS","NONE",,,,8.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-02-24 12:15:00,0,"DWS-RQIS","NONE",,,,11,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-03-03 11:25:00,0,"DWS-RQIS","NONE",6.8,22,89,13.5,0.27,1.82,,2.4,14.9,0.05,0.04,,6.8,0.005,3.75,12.9,22.6,"G2H020Q01","G22H"
101979,1982-03-10 12:10:00,0,"DWS-RQIS","NONE",,,,17.2,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-03-17 11:55:00,0,"DWS-RQIS","NONE",,,,17.1,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-04-07 11:35:00,0,"DWS-RQIS","NONE",,,,21.1,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-04-21 13:20:00,0,"DWS-RQIS","NONE",,,,13.1,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-04-28 13:10:00,0,"DWS-RQIS","NONE",5.1,19,123,14.6,0.05,2.34,,1.7,11.9,3.06,11.54,,6.3,0.441,2.98,6.5,16.7,"G2H020Q01","G22H"
101979,1982-05-05 13:40:00,0,"DWS-RQIS","NONE",,,,16.2,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-05-12 13:45:00,0,"DWS-RQIS","NONE",,,,13.2,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-06-02 13:25:00,0,"DWS-RQIS","NONE",,,,13.1,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-06-09 13:25:00,0,"DWS-RQIS","NONE",,,,11.3,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-06-16 13:40:00,0,"DWS-RQIS","NONE",,,,3.6,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-06-23 14:20:00,0,"DWS-RQIS","NONE",3.1,17,45,8.4,0.05,0.74,,2,9.5,0.02,0.02,,6.5,0.003,2.56,2,10.3,"G2H020Q01","G22H"
101979,1982-06-30 13:25:00,0,"DWS-RQIS","NONE",,,,9.6,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-07-07 14:40:00,0,"DWS-RQIS","NONE",,,,9.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-07-14 14:10:00,0,"DWS-RQIS","NONE",,,,12.3,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-07-21 14:20:00,0,"DWS-RQIS","NONE",4.9,23.1,77,13.7,0.05,1.27,,3.1,15.6,0.02,0.15,,6.8,0.003,3.7,2,20.9,"G2H020Q01","G22H"
101979,1982-08-04 14:00:00,0,"DWS-RQIS","NONE",,,,9.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-08-11 14:05:00,0,"DWS-RQIS","NONE",,,,8.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-08-18 14:15:00,0,"DWS-RQIS","NONE",4.6,19.3,52,10.2,0.14,0.74,,2,11,0.04,0.09,,6.64,0.01,3.43,2,9.6,"G2H020Q01","G22H"
101979,1982-08-25 13:50:00,0,"DWS-RQIS","NONE",,,,13.1,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-09-01 13:31:00,0,"DWS-RQIS","NONE",,,,9.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-09-08 13:50:00,0,"DWS-RQIS","NONE",,,,13.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-09-15 14:05:00,0,"DWS-RQIS","NONE",,,,10.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-09-22 14:25:00,0,"DWS-RQIS","NONE",2.8,19,54,9.8,0.05,1.02,,2.3,10.6,0.02,1.26,,6.2,0.016,3.73,4.4,6.5,"G2H020Q01","G22H"
101979,1982-09-29 14:00:00,0,"DWS-RQIS","NONE",,,,15.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-10-06 12:50:00,0,"DWS-RQIS","NONE",,,,9.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-10-13 13:30:00,0,"DWS-RQIS","NONE",,,,9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-10-27 13:54:00,0,"DWS-RQIS","NONE",,,,14.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-11-03 12:22:00,0,"DWS-RQIS","NONE",,,,38.3,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-11-10 13:57:00,0,"DWS-RQIS","NONE",,,,8.4,,,,,,,0.27,,6.51,,,,15.4,"G2H020Q01","G22H"
101979,1982-11-17 14:06:00,0,"DWS-RQIS","NONE",,,,12.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-11-24 13:25:00,0,"DWS-RQIS","NONE",,,,13.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-12-01 12:20:00,0,"DWS-RQIS","NONE",11.6,24,120,19.2,0.05,1.27,,4.9,14.5,0.06,0.5,,7.2,0.007,3.59,10.7,41.7,"G2H020Q01","G22H"
101979,1982-12-15 13:30:00,0,"DWS-RQIS","NONE",,,,14.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1982-12-22 11:50:00,0,"DWS-RQIS","NONE",,,,6.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-01-05 13:40:00,0,"DWS-RQIS","NONE",,,,19.4,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-01-12 12:50:00,0,"DWS-RQIS","NONE",,,,18.5,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-01-19 12:57:00,0,"DWS-RQIS","NONE",,,,14.6,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-02-02 12:00:00,0,"DWS-RQIS","NONE",,,,15.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-02-07 12:35:00,0,"DWS-RQIS","NONE",,,,16.8,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-02-23 12:14:00,0,"DWS-RQIS","NONE",,,,11.5,,,,,,,0.11,,7.29,,,,23.5,"G2H020Q01","G22H"
101979,1983-03-03 12:00:00,0,"DWS-RQIS","NONE",,,,21.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-03-16 12:30:00,0,"DWS-RQIS","NONE",,,,21.7,,,,,,,,,,,,,,"G2H020Q01","G22H"
101979,1983-03-23 09:30:00,0,"DWS-RQIS","NONE",3.9,12,54,7.9,0.18,0.85,,1.8,8,0.02,0.02,,5.7,0.005,3.46,9.5,14.7,"G2H020Q01","G22H"
101979,1983-03-30 07:45:00,0,"DWS-RQIS","NONE",,,,21.9,,,,,,,,,,,,,,"G2H020Q01","G22H"
