mon_feature_id,date_time,sample_begin_depth,institution_abbr,preservative_abbr,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Station,Qat,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975,1978/12/26 11:40,0,DWS-RQIS,NONE,14.5,127.7,300,78.7,0.28,5.91,12.7,72,0.02,0.08,,6.8,0.122,2.07,17.9,39.2,G2H015Q01,G22H,5.051156299,4.773591511,2.825159414
101975,1979/04/17 18:00,0,DWS-RQIS,NONE,9,64.1,182,32.2,0.3,7.55,5.9,36.9,0.02,0.7,,6.7,0.621,6.07,8.5,36.7,G2H015Q01,G22H,2.73302808,2.763223189,-0.549376434
101975,1979/04/24 18:15,0,DWS-RQIS,NONE,19.5,161.5,422,73.3,0.16,12.68,14.7,95.6,0.02,1.43,,7.7,0.55,7.01,27.8,67.6,G2H015Q01,G22H,6.664374647,6.52871376,1.028272401
101975,1979/05/01 17:08,0,DWS-RQIS,NONE,16.2,127,397,64.2,0.31,20.95,12,82.4,0.02,3.97,,6.94,2.401,7.17,23.7,73.7,G2H015Q01,G22H,5.915159804,5.700870101,1.844775752
101975,1979/05/08 17:40,0,DWS-RQIS,NONE,5.6,34,106,19.7,0.05,4.45,2.5,21.6,0.02,1.35,,6.76,0.403,5.26,5.9,20.3,G2H015Q01,G22H,1.53911535,1.523667329,0.504378627
101975,1979/05/15 17:45,0,DWS-RQIS,NONE,11.1,77.2,205,40.5,1.9,8.66,7.4,47.1,0.02,0.02,,6.85,0.765,6.76,10.3,32,G2H015Q01,G22H,3.433090032,3.153488404,4.245020847
101975,1979/05/22 16:25,0,DWS-RQIS,NONE,11.1,97.3,273,49.4,0.51,11.75,9.2,58.8,0.02,3.49,,6.92,1.163,7.16,12.9,42.7,G2H015Q01,G22H,4.168961965,3.983174157,2.279007675
101975,1979/06/12 16:35,0,DWS-RQIS,NONE,29.1,159.9,462,79.3,0.2,13.15,15.1,96.1,0.02,0.34,,7.13,0.167,3.81,59.1,71.8,G2H015Q01,G22H,7.209859041,7.191478006,0.12763423
101975,1979/06/20 09:09,0,DWS-RQIS,NONE,11.2,65.1,185,34,0.14,7.53,7.1,37.5,0.02,1.97,,6.76,0.366,5.47,15,26.1,G2H015Q01,G22H,2.967094645,2.718678144,4.369089483
101975,1979/12/05 11:25,0,DWS-RQIS,NONE,16.1,137.5,366,102,0.24,7.34,13.8,79.6,0.02,2.79,,6.8,0.231,3.42,22.6,61.9,G2H015Q01,G22H,5.588499449,5.646509145,-0.516329782
101975,1979/12/11 16:40,0,DWS-RQIS,NONE,19.6,192.2,480,81.2,0.33,8.22,19.9,110.1,0.02,2.75,,6.88,0.12,3.71,27.5,73.5,G2H015Q01,G22H,7.613714004,7.52191774,0.60649113
101975,1979/12/19 10:50,0,DWS-RQIS,NONE,41.4,473.3,1026,184.5,0.33,8.56,41.8,247.7,0.02,0.25,,6.82,0.012,2.48,64.7,120.9,G2H015Q01,G22H,16.49476928,17.11868804,-1.856157644
101975,1979/12/26 10:06,0,DWS-RQIS,NONE,41.7,531.6,1113,204.8,0.4,11.56,46.4,277.1,0.02,0.07,,6.76,0.017,1.81,71.2,109.2,G2H015Q01,G22H,18.24331991,18.6631562,-1.137568058
101975,1980/01/02 10:45,0,DWS-RQIS,NONE,42.3,480,1028,181.2,0.3,8.39,43.2,265.5,0.02,0.02,,7.23,0.01,1.4,58.7,106,G2H015Q01,G22H,17.42444862,16.87919873,1.589480815
101975,1980/01/09 10:20,0,DWS-RQIS,NONE,12.4,96.6,244,46.2,0.25,4.78,9.5,55.5,0.02,0.02,,6.65,0.117,4.38,14.2,41.2,G2H015Q01,G22H,3.936752098,3.857827467,1.0125579
101975,1980/01/16 15:45,0,DWS-RQIS,NONE,26.8,278.1,604,111.7,0.2,6.33,27.8,145.8,0.02,0.24,,7,0.038,3.7,36.2,67.2,G2H015Q01,G22H,10.12685833,9.946781994,0.897078604
101975,1980/01/22 17:15,0,DWS-RQIS,NONE,34.5,404.2,855,157.9,0.23,6.69,39.8,212.3,0.02,0.02,,7.08,0.011,3.13,46.2,91.4,G2H015Q01,G22H,14.39906406,14.18818914,0.737653636
101975,1980/01/30 08:45,0,DWS-RQIS,NONE,40.4,449.9,997,180.4,0.27,6.61,42.8,261.2,0.02,0.02,,7.3,0.029,1.71,64.8,107,G2H015Q01,G22H,17.0642829,16.17728355,2.668344021
101975,1980/02/06 08:00,0,DWS-RQIS,NONE,43.1,463.7,1007,182,0.35,7.24,42.3,253.4,0.04,0.02,,7.2,0.034,1.71,50,120.3,G2H015Q01,G22H,16.83588718,16.52837187,0.921690808
101975,1980/02/13 07:40,0,DWS-RQIS,NONE,62.8,431.1,964,166.8,0.35,10.28,29.4,216.2,0.05,0.02,,7.29,0.065,4.62,50.9,133.5,G2H015Q01,G22H,15.21761604,15.89377145,-2.17333737
101975,1980/02/20 07:55,0,DWS-RQIS,NONE,24.4,285.2,621,114.7,0.29,6.99,25,154.8,0.04,0.02,,7.08,0.098,3.66,33.4,74.2,G2H015Q01,G22H,10.18600016,10.23159255,-0.223299564
101975,1980/02/27 15:55,0,DWS-RQIS,NONE,23.7,260,588,105.9,0.27,6.61,24.3,142.1,0.02,0.02,,6.7,0.053,3.5,26.2,85.9,G2H015Q01,G22H,9.530470577,9.603415802,-0.3812358
